rating,reviewer_id,date,review_title,review_body,category,score_gemini,score_groq,rating_sentiment,gemini_sentiment,groq_sentiment,final_sentiment,final_score
1,danielle,2025-09-27,great product,great value great product definitely recommend would buy,food,1,0,positive,positive,negative,positive,1.0
1,antonio,2025-09-04,healthy food,healthy way cook,food,0,1,positive,negative,positive,positive,1.0
1,rebecca,2025-10-17,oil fine package thin plastic,vegetable oil not worth spend name brand cost say manage make package thin practically need put cardboard box like restaurants thin not real careful not squeeze air screw lid get tight like vacuum bottle super hard unscrew lid,food,1,0,positive,positive,negative,positive,1.0
0,chiann,2025-06-07,never get order,never get im not happy,food,0,0,negative,negative,negative,negative,0.0
0,dominique,2025-08-26,,bottle open,food,0,0,negative,negative,negative,negative,0.0
0,anonymous,2025-01-06,not happy,didnt get order pic get,food,0,0,negative,negative,negative,negative,0.0
0,jonaisha,2023-07-03,use better judgment price item,substitute vegetable oil 3 48oz bottle extremely bad judgment 2 would perfect price 1 substitution not good call one,food,1,1,negative,positive,positive,positive,1.0
1,ardawd123,2025-10-28,great value vegetable oil,ive use great value oil many years im 48 still ive hear bad body possibly undoubtedly isnt bad body would still recommend still use tell otherwise not doesnt give food bad taste work like suppose,food,1,1,positive,positive,positive,positive,1.0
1,trista,2025-11-02,,great value good deal great value good buy like use product im not spend extra money usually equal im buy like use product im not spend extra money usually equal get,food,1,1,positive,positive,positive,positive,1.0
1,michelle,2025-10-24,vegetable oil,love vegetable oil good price fry chicken fish kind vegetable oil good price money buy years no complaints 10 10 get chicken crispy buy chicken restaurant,food,1,1,positive,positive,positive,positive,1.0
1,carol,2025-11-14,,work well use many years use everything recipe require oil also use grease cake pan last week kitchen window stuckalthough not make label use oil track window would slide,food,1,1,positive,positive,positive,positive,1.0
1,connie,2025-11-21,,love cook go grocery shop recently break foot family shop mei temporarily work alsoi independent dont like put people way work decide try impress already recommend others,food,0,1,positive,negative,positive,positive,1.0
1,joan,2025-12-10,,always buy gv vegetable oil tight budget price important still want quality cant tell diff expensive brand sometimes need get small bottle dollar general buy expensive great product,food,0,1,positive,negative,positive,positive,1.0
1,abigail,2025-11-16,,great value vegetable oil 48 fl oz kitchen essential light versatile perfect fry bake saute large 48 fl oz bottle provide great value last long time reliable quality affordable pricehighly recommend,food,1,1,positive,positive,positive,positive,1.0
1,michaela,2025-11-18,pretty good not always interchangeable,vegetable oil pretty good personally prefer olive oil bake several recipes require vegetable oil ive try olive oil difference way two oil behave recipes not always interchangeable,food,1,1,positive,positive,positive,positive,1.0
0,nana,2026-01-29,,havent get order yet originally yesterday afternoon get notice delay okay fine roads still not good place notice another delay another delay put 6pm would dark temperatures drop reschedule today 1012 morning prepare order order delay past 230pm werent go deliver not say start items order specifically storm come really need order far know everything order least last night,food,1,1,negative,positive,positive,positive,1.0
1,lisa,2026-01-31,easy affordable cook oil,like brand like price like use oil daily cook like oil doesnt mess flavor food like easy open close cap plastic bottle every thing make life easier,food,1,1,positive,positive,positive,positive,1.0
0,dee,2025-12-06,make sure agents really explain everything,order large gallonsized jug stock settle bottle bottle like cost gallon judgment get one even though charge two plus call customer service agent give 5 coupon promo good online order anything certain amount whos go cost 5 ship pick not worth trouble go try use coupon promo no good two days later,food,0,1,negative,negative,positive,negative,0.0
1,sara,2025-11-29,,good expensive name brand 26 oil use would great though could nodrip spout normally need small bite oil time 26 end wipe top paper towel use,food,0,1,positive,negative,positive,positive,1.0
1,tanya,2025-11-29,value,oil unless use olive coconut even lard not much difference vegetable oil except price oil get outrageous walmart best price oil pretty much everything must add use shop kroger walmart beat store price keep quality,food,0,1,positive,negative,positive,positive,1.0
1,dezireno,2025-12-04,,time good chicken wing bad spoil something else almost meat spoil scar order chicken wing 444 pack restaurant wing 444 usually favorite meat spoil order include burgers white castle burgers,food,1,0,positive,positive,negative,positive,1.0
1,shannon,2026-01-15,mean,basic cook oil work anything require high smoke point oil cook taste doesnt change flavor foods also use grease pan nonstick surface best use light color pan go oven,food,1,1,positive,positive,positive,positive,1.0
1,debbi,2026-01-03,cabinet staple,home chef 7 family members cook lot food no solid reason use brandname vegetable oil great value brand vegetable oil perfectly fine mild flavor use fry type foods make salad dressings bake call oil etc im please great value vegetable oil make switch,food,0,1,positive,negative,positive,positive,1.0
1,dena,2026-02-04,vegetable oil less,vegetable oil great quality texture consistency taste like brand name excellent option us try cut back ridiculous brandname highpriced products walmart better brand opinion use vegetable oil bake brownies cookies specialty vegetable dish come amazingly good dont bother pay get great quality less,food,0,1,positive,negative,positive,positive,1.0
1,earl,2026-02-06,,oil performance level higher end brand yet affordable price point everyday pantry item stock use light enough even make italian dress versus olive oil cost pinch pennies want oil go ways,food,0,0,positive,negative,negative,negative,0.0
1,david,2026-01-09,not oil create equal,vegetable oil solid everyday staple neutral flavor work well cook bake fry without affect taste food heat evenly perform reliably whether saute deep fry use recipes bottle size convenient last pour easy control without make mess price quality consistent dependable want straightforward affordable cook oil exactly one great value,food,1,1,positive,positive,positive,positive,1.0
0,danette,2026-02-11,,hate store since jan 27th 2026i cancel reotder ridiculously 3 4xs bcz competent employees customer service stire 233262 stire never evercanswers phone mean not single dept end call ure 80023 10xs order bcz answer phone im oxygen cumbersome go store carry items let alone 2 case water u dont hire staff help answer phone u go lose customers ive decide shop elsewhere ure price keep go price higher grocery store u r actially price gouge customers im goingvto report company im people,food,0,0,negative,negative,negative,negative,0.0
1,melody,2026-03-01,,understand hoopla certain type unhealthy cook oil commit healthier lifestyle yeah right stand aisle read every vegetable oil label honestly great value vegetable oil nearly brand 100 veg oil healthiest kind healthiest affordable im,food,1,1,positive,positive,positive,positive,1.0
1,ryan,2025-10-03,great value vegetable oil 48 fl oz,giant jug great value vegetable oil crucial component college experience specifically deepfrying freeze chicken nuggets attempt make actual food first time 48 fl oz size ensure wont panicbuy oil least month two give priorities minor miracle thank walmart provide necessary fuel inevitable culinary disasters,food,1,1,positive,positive,positive,positive,1.0
1,sherene,2025-09-23,,love affordable product easy use cook package durable safe taste ok wont burn first use reuse least 2 time always continue use buy cook family thank great value families appreciate,food,1,1,positive,positive,positive,positive,1.0
